Timestamp,Do you agree to participate in this survey?,1. Your Location,2. Your Region/State,3. What is your age group?,4. What is your approximate monthly household income?(MMK),5. What is the highest level of education you have completed?,6. How often do you use single-use plastic items in your weekly life?,7.Which of the following single-use plastic items do you usually use in your weekly life?,8. Where do you usually get your single-use plastic from?,9. How many plastic bags do you usually get from shops or markets in your weekly life?,"10. When buying street food or market food, how often does it come in plastic?","11. Compared to what you see outside (litter, packaging, shops), do you think you personally use:",12. What do you often do with your plastic waste after you use the product?,13. What do you think happens to the plastic you throw in the bin in your region?,14. How aware are you that plastic production and disposal contributes to climate change?,15. Do you believe current plastic usage in Myanmar is contributing to climate change?,16. When do you think the effects of today’s plastic usage on climate change will become noticeable?,17. Would you support reducing single-use plastics or replacing them with alternatives?,18. Do you think that plastic waste is burned?,19. What percentage of plastic waste do you think is burned?,20. Do you think that plastic waste usually ends up in a landfill site?,21. What percentage of plastic waste ends up in a landfill or dumping ground?,22. How do you think plastic waste in landfills and open burning affects climate change?
1/4/2026 22:42:02,Yes,Rural,Sagaing,18-25,"Less than 300,000",University/College,6-10,"Plastic bags, Plastic straws","Local markets, Coffee/tea shops",6-10,Always,About the same,Throw in bin,Burned,Somewhat aware,Yes,Already visible now,Support,No,,Yes,Not sure,Release GHG
1/4/2026 22:47:56,Yes,Rural,Sagaing,18-25,"300,000-600,000",High school,3-5,"Plastic bags, Food sachets","Local markets, Street Vendors, Coffee/tea shops",6-10,Always,Much less than others,"Throw in bin, Reuse",Burned,Somewhat aware,Yes,Already visible now,Support,No,Not applicable,No,Not sure,Release GHG
1/4/2026 22:49:01,Yes,Urban,Yangon,18-25,"300,000-600,000",University/College,More than 10,"Plastic bags, Bottled water, Plastic containers, Plastic straws, Disposable forks","Supermarkets, Local markets, Street Vendors, Food Delivery, Online Delivery, Coffee/tea shops",6-10,Sometimes,About the same,Throw in bin,Ends up in landfills,Somewhat aware,Yes,Already visible now,Support,No,Not applicable,Yes,51%-75%,Increases the Earth’s temperature
1/6/2026 21:59:12,Yes,Urban,Yangon,18-25,No income,University/College,More than 10,"Plastic bags, Plastic straws","Supermarkets, Local markets, Street Vendors, Food Delivery, Online Delivery, Coffee/tea shops",More than 10,Always,Less than others,"Throw in bin, Recycle, Reuse",Recycled,Very aware,Yes,Already visible now,Strongly support,No,Less than half (1%-25%),Yes,More than 75%,Release GHG
1/8/2026 23:09:47,Yes,Urban,Yangon,18-25,"300,000-600,000",High school,6-10,"Plastic bags, Plastic containers","Supermarkets, Food Delivery, Online Delivery",3-5,Always,Much less than others,"Throw in bin, Recycle",Ends up in landfills,Very aware,Yes,Already visible now,Strongly support,No,More than half (51%-75%),No,25%-50%,Pollutes soil/water
1/10/2026 13:40:57,Yes,Urban,Shan,18-25,"Less than 300,000",University/College,6-10,"Plastic bags, Food sachets","Supermarkets, Local markets, Street Vendors",6-10,Always,Much less than others,"Recycle, Reuse",I don’t know,Very aware,Yes,Already visible now,Strongly support,Yes,Not applicable,Yes,Not sure,Release GHG
1/10/2026 13:46:59,Yes,Semi-urban,Ayeyarwady,18-25,"300,000-600,000",High school,3-5,"Plastic bags, Bottled water, Plastic straws","Local markets, Street Vendors, Online Delivery, Coffee/tea shops",3-5,Always,About the same,"Throw in bin, Recycle, Reuse",Ends up in rivers,Very aware,Yes,More than 10 years,Strongly support,Yes,Less than half (1%-25%),Yes,51%-75%,Pollutes soil/water
1/10/2026 13:54:27,Yes,Urban,Yangon,18-25,"Less than 300,000",High school,3-5,"Plastic bags, Plastic straws, Food sachets","Supermarkets, Coffee/tea shops, Home",6-10,Always,Less than others,"Throw in bin, Reuse",Ends up in landfills,Slightly aware,Not Sure,Already visible now,Strongly support,No,Less than half (1%-25%),Not sure,51%-75%,Pollutes soil/water
1/10/2026 13:58:09,Yes,Rural,Mon,18-25,No income,University/College,3-5,"Plastic bags, Bottled water, Plastic straws, Food sachets","Supermarkets, Local markets, Food Delivery, Online Delivery, Coffee/tea shops",3-5,Always,About the same,"Throw in bin, Reuse",I don’t know,Somewhat aware,Not Sure,Within 3-5 years,Strongly support,Yes,More than half (51%-75%),Not sure,25%-50%,Increases the Earth’s temperature
1/10/2026 14:03:19,Yes,Urban,Yangon,18-25,"Less than 300,000",University/College,3-5,"Plastic bags, Bottled water, Plastic containers, Disposable forks","Supermarkets, Food Delivery, Online Delivery",3-5,Always,About the same,"Throw in bin, Reuse",Ends up in landfills,Somewhat aware,Yes,Already visible now,Strongly support,No,About half (26%-50%),Yes,More than 75%,Pollutes soil/water
